α,β,L,id,time,h_sample,strain
0.32057574,0.019322569,14.821683,003,59.35,155.774,jt305
0.34791073,0.015282489,12.058789,004,59.35,155.774,jt305
0.3367469,0.021194637,14.701537,005,59.35,155.774,jt305
0.33430728,0.01685423,13.3385935,006,59.35,155.774,jt305
0.34762526,0.00722344,10.5623255,007,59.35,155.774,jt305
0.35350436,0.0073291687,10.598102,008,59.35,155.774,jt305
0.32092083,0.022570945,15.631002,009,59.35,155.774,jt305
0.34454423,0.015047789,13.060521,010,59.35,155.774,jt305
0.34153053,0.013560784,12.376878,best,60.28,159.151,jt305
0.35526022,0.030777235,14.909173,001,60.28,159.151,jt305
0.35622287,0.032261327,15.319027,002,60.28,159.151,jt305
0.31412673,0.013329973,13.818685,003,60.28,159.151,jt305
0.32098636,0.020854155,15.446643,004,60.28,159.151,jt305
0.35923353,0.012150991,11.314812,005,60.28,159.151,jt305
0.34643027,0.008089386,10.951821,006,60.28,159.151,jt305
0.35960877,0.008550696,10.390311,007,60.28,159.151,jt305
0.34205982,0.014360027,12.589983,008,60.28,159.151,jt305
0.32344136,0.015240062,13.855281,009,60.28,159.151,jt305
0.33725005,0.0154864425,13.081294,010,60.28,159.151,jt305
0.34191927,0.013017762,12.245183,best,61.2,160.861,jt305
0.37452224,0.0076937512,9.925541,001,61.2,160.861,jt305
0.36285028,0.010461131,10.774667,002,61.2,160.861,jt305
0.37941158,0.008641793,9.704382,003,61.2,160.861,jt305
0.39100024,0.009206889,9.448016,004,61.2,160.861,jt305
0.34415057,0.016457137,12.845884,005,61.2,160.861,jt305
0.31679398,0.014746125,14.104983,006,61.2,160.861,jt305
0.32725057,0.024778862,15.562117,007,61.2,160.861,jt305
0.3342325,0.009391157,11.769017,008,61.2,160.861,jt305
0.31280664,0.022326764,16.981241,009,61.2,160.861,jt305
0.40586448,0.0046789586,8.4021,010,61.2,160.861,jt305
0.3422453,0.0125401635,12.130292,best,62.13,163.898,jt305
0.32302538,0.012459392,13.196671,001,62.13,163.898,jt305
0.33168453,0.018070158,13.983235,002,62.13,163.898,jt305
0.32582837,0.014237368,13.411792,003,62.13,163.898,jt305
0.32477504,0.016955433,14.056678,004,62.13,163.898,jt305
0.3437148,0.008794767,10.984997,005,62.13,163.898,jt305
0.3407582,0.022498736,14.518759,006,62.13,163.898,jt305
0.36971375,0.01036965,10.501499,007,62.13,163.898,jt305
0.33025238,0.017750802,14.084394,008,62.13,163.898,jt305
0.31166697,0.024360655,17.147583,009,62.13,163.898,jt305
0.3306758,0.027594846,16.252377,010,62.13,163.898,jt305
0.34257126,0.012110597,12.024866,best,63.06,166.873,jt305
0.3773142,0.0059160977,9.367468,001,63.06,166.873,jt305
0.3881751,0.011263283,9.984899,002,63.06,166.873,jt305
0.34634656,0.014753858,12.513157,003,63.06,166.873,jt305
0.3343409,0.013289308,12.735921,004,63.06,166.873,jt305
0.33612984,0.01735676,13.412654,005,63.06,166.873,jt305
0.33467808,0.015804358,13.399967,006,63.06,166.873,jt305
0.339781,0.006287113,10.961253,007,63.06,166.873,jt305
0.34116337,0.010659779,11.646743,008,63.06,166.873,jt305
0.36657682,0.008331986,10.335244,009,63.06,166.873,jt305
0.3650224,0.009276542,10.51347,010,63.06,166.873,jt305
0.34283715,0.011750185,11.936421,best,63.98,170.054,jt305
0.34201494,0.008356323,11.216566,001,63.98,170.054,jt305
0.36328167,0.0076942323,10.098928,002,63.98,170.054,jt305
0.34515846,0.02133456,14.180653,003,63.98,170.054,jt305
0.35058236,0.014076877,12.165528,004,63.98,170.054,jt305
0.34873083,0.018037109,13.083123,005,63.98,170.054,jt305
0.33645368,0.026868584,16.017464,006,63.98,170.054,jt305
0.32793412,0.01327684,13.105306,007,63.98,170.054,jt305
0.35084677,0.015506904,12.396494,008,63.98,170.054,jt305
0.37057734,0.0075411103,10.062942,009,63.98,170.054,jt305
0.36123624,0.010319478,10.312792,010,63.98,170.054,jt305
0.34310737,0.011450567,11.860057,best,64.9,172.439,jt305
0.3358095,0.012403562,12.627461,001,64.9,172.439,jt305
0.34437686,0.013589708,12.299663,002,64.9,172.439,jt305
0.32301918,0.010580564,12.688147,003,64.9,172.439,jt305
0.35970816,0.005958123,9.979013,004,64.9,172.439,jt305
0.3350248,0.014400411,12.941486,005,64.9,172.439,jt305
0.34495488,0.013197118,12.129169,006,64.9,172.439,jt305
0.36956218,0.0053911437,9.522282,007,64.9,172.439,jt305
0.34208238,0.027445495,15.899947,008,64.9,172.439,jt305
0.37416792,0.008956311,9.945935,009,64.9,172.439,jt305
0.33374628,0.013450168,12.759212,010,64.9,172.439,jt305
0.34408048,0.010974531,11.7098255,best,65.83,175.901,jt305
0.35161817,0.012274828,11.506848,001,65.83,175.901,jt305
0.34173566,0.005034409,10.475475,002,65.83,175.901,jt305
0.33607984,0.022390453,14.834532,003,65.83,175.901,jt305
0.32416523,0.01057932,12.419654,004,65.83,175.901,jt305
0.384913,0.0057185977,8.939065,005,65.83,175.901,jt305
0.33019912,0.011456726,12.483095,006,65.83,175.901,jt305
0.33486745,0.01803095,13.7332945,007,65.83,175.901,jt305
0.3399054,0.01151815,12.067217,008,65.83,175.901,jt305
0.32473466,0.014097445,13.522248,009,65.83,175.901,jt305
0.35601604,0.019096645,12.725955,010,65.83,175.901,jt305
0.3441496,0.010739396,11.658723,best,66.75,177.42,jt305
0.35428295,0.0113604795,11.458184,001,66.75,177.42,jt305
0.35717928,0.009127727,10.858991,002,66.75,177.42,jt305
0.34973997,0.0075795767,10.713846,003,66.75,177.42,jt305
0.3451239,0.009405203,11.323488,004,66.75,177.42,jt305
0.3673424,0.003580792,9.08255,005,66.75,177.42,jt305
0.37147433,0.01713937,11.651742,006,66.75,177.42,jt305
0.33145678,0.021677213,14.882889,007,66.75,177.42,jt305
0.33573306,0.014389504,13.000284,008,66.75,177.42,jt305
0.32971486,0.014751868,13.523668,009,66.75,177.42,jt305
0.33579382,0.018262243,13.951075,010,66.75,177.42,jt305
0.3444554,0.01053088,11.599944,best,67.68,179.495,jt305
0.37727034,0.01295341,10.846568,001,67.68,179.495,jt305
0.35739094,0.009967266,11.017966,002,67.68,179.495,jt305
0.3476216,0.0075882026,10.833115,003,67.68,179.495,jt305
0.35450426,0.008790475,10.870009,004,67.68,179.495,jt305
0.33247587,0.009215024,11.81693,005,67.68,179.495,jt305
0.34777886,0.006154251,10.070736,006,67.68,179.495,jt305
0.38235143,0.0055036214,9.092961,007,67.68,179.495,jt305
0.3938889,0.008121332,9.18363,008,67.68,179.495,jt305
0.38220435,0.0062191896,9.14526,009,67.68,179.495,jt305
0.342526,0.017879812,13.314667,010,67.68,179.495,jt305
0.34457088,0.010442488,11.575455,best,68.7,179.932,jt305
0.3347434,0.0064648823,11.155396,001,68.7,179.932,jt305
0.32950196,0.011347583,12.430995,002,68.7,179.932,jt305
0.38462314,0.003975648,8.753814,003,68.7,179.932,jt305
0.3454484,0.013140221,12.102524,004,68.7,179.932,jt305
