time,nutrient_n,logistic_n,interface_n,logistic,interface
56.0,231.53440393762483,185.33472549583968,215.6362995049211,166.6057404393924,208.78827040496512
56.5,233.09434277673836,185.36733357816783,216.31001910189568,166.60774507393586,209.19921585938866
57.0,234.66456101706405,185.39785064267124,216.9744573549708,166.6100344120808,209.59975663810187
57.5,236.24514473108846,185.4264024734334,217.6298181891441,166.6122978732473,209.9901631469285
58.0,237.83617491076134,185.4531097197099,218.27631340673642,166.61427851678826,210.37069902757773
58.5,239.43773361776735,185.47808789592827,218.91416268739212,166.61577304198946,210.7416211576439
59.0,241.04990340355366,185.50144738168808,219.54359358807875,166.61663178806938,211.1031796506066
59.5,242.67276730932974,185.5232934217609,220.1648415430873,166.6167587341794,211.45561785583078
60.0,244.30640886606776,185.54372612609035,220.77814986403226,166.61611149940364,211.79917235856664
60.5,245.95091209450206,185.562840469792,221.38376973985115,166.6147013427591,212.1340808554819
61.0,247.6063615051297,185.58072629315348,221.98192938632374,166.61259316319553,212.4605849609696
61.5,249.27284209821002,185.59746830163436,222.57269164479385,166.60990549959547,212.77888221440531
62.0,250.95043936376484,185.6131460072803,223.15607560079988,166.60681053077434,213.08916380368595
62.5,252.63923928157854,185.62782873237248,223.73210938979966,166.60353407548033,213.3916179230542
63.0,254.339328321198,185.6415739861952,224.30082968062598,166.6003555923944,213.68642977309855
63.5,256.0507917158779,185.65443650704358,224.8622816754865,166.5976081801304,213.97378156075305
64.0,257.7737078655086,185.66646900058245,225.41651910996393,166.5956785772349,214.25385249929755
64.5,259.50815619524707,185.67772213984645,225.96360425301577,166.59500716218736,214.52681880835763
65.0,261.25421700803184,185.68824456523996,226.5036079069746,166.59608795339997,214.79285371390455
65.5,263.011971299971,185.69808288453711,227.0366094075478,166.6005019241566,215.0521274482553
66.0,264.7815007603425,185.70728167288186,227.56269662381777,166.6085599669869,215.30480725007257
66.5,266.56288777159415,185.7158834727879,228.08196595824182,166.618493523358,215.55105736436477
67.0,268.35621540934324,185.72392879413874,228.59452234665224,166.62878013552893,215.79103904248603
67.5,270.1615674423769,185.73145611418758,229.10047925825614,166.63814997283615,216.02491054213624
68.0,271.9790283326522,185.73850187755747,229.5999586956357,166.64558583169392,216.25282712736092
68.5,273.8086832352957,185.74510049624115,230.09309119474796,166.6503231355942,216.47494106855137
69.0,275.6506179986038,185.75128333099178,230.58001582492489,166.65184993510647,216.69140164244456
69.5,277.50491916404275,185.75707453462837,231.0608801888734,166.64990690787803,216.9023551321232
70.0,279.37167396624847,185.7624959507828,231.53584042267542,166.64448735863377,217.10794482701573
70.5,281.2509703330264,185.76756874601278,232.00506119578765,166.63583721917624,217.3083110228963
71.0,283.14289461546065,185.77231338018225,232.46871571104188,166.62445504838567,217.50359102188472
71.5,285.0475303678629,185.77674960646144,232.92698570464472,166.61109203221997,217.6939191324466
72.0,286.96496307339515,185.78089647132674,233.3800614461778,166.59675198371474,217.87942666939318
72.5,288.8952789374501,185.78477231456077,233.82814173859765,166.58269134298314,218.06024195388153
73.0,290.83856487917177,185.78839476925245,234.271413575498,166.57041917721614,218.23649031341432
73.5,292.79490853145586,185.79178076179684,234.7098813253787,166.56169718068224,218.40829408183998
74.0,294.7643982409492,185.79494651189526,235.14350962411746,166.55853967472774,218.57577259935266
74.5,296.7471230680504,185.7979075325553,235.57227931603887,166.56321360777645,218.7390422124922
75.0,298.74317278690944,185.80067863009072,235.9961790998013,166.57872703163787,218.89821627414423
75.5,300.7526378854275,185.8032739041215,236.41520552839697,166.6029154157074,219.05340514354
76.0,302.77560956525747,185.80570674757377,236.82936300915188,166.63064696148498,219.20472097082296
76.5,304.8121797418038,185.80798833504676,237.23866380372587,166.65762504433923,219.35226562834814
