time,data,α,β,L
43.58,107.11633333333333,0.29480239879466913,0.02296408486616374,16.614005712741097
44.25,109.694,0.29484304598947975,0.02303191417739722,16.624636242204087
44.91,110.72033333333333,0.2949881809216813,0.02328167947907388,16.66474457867766
45.57,112.40733333333333,0.29506818413232605,0.023423763496795976,16.688100253546395
46.26,114.10833333333335,0.29510543550029883,0.023492307748816832,16.699644009411337
46.96,115.69566666666667,0.29512956015223446,0.023538424818604603,16.707599953216455
47.66,116.88033333333333,0.29520098317961446,0.02368039235279035,16.732660711791674
48.36,119.62866666666667,0.29508415391544424,0.023437818539232668,16.68883696141654
49.06,121.62366666666667,0.294929437478917,0.023099752824638962,16.626283335057625
49.77,123.28566666666666,0.29479023286615075,0.02277791068300302,16.565297942541186
50.5,124.58466666666668,0.294704582588553,0.022567477353575442,16.524482290579716
51.25,126.58300000000001,0.29455138463801367,0.021529975174581394,16.250497369158147
52.0,130.05633333333333,0.2943861627970412,0.020916628975027475,16.12472295944558
52.75,131.97566666666668,0.29424935750048276,0.020329142065932712,16.001273439110285
53.5,134.08166666666668,0.2941321200819543,0.01972876704360482,15.872086641359052
54.54,137.15833333333333,0.2940306594110551,0.019031253420808737,15.717382699082284
55.44,140.08766666666665,0.2939538738900279,0.018246241375711663,15.538725056276169
56.36,143.17866666666666,0.2939140412766726,0.01737758628845721,15.335882924789589
57.28,146.704,0.2939244869047045,0.016379225425894664,15.096813814357072
58.21,149.73833333333334,0.2939960514924868,0.015376758924744646,14.850747536716197
59.13,151.431,0.29409976090234424,0.01459420146658723,14.654099047648169
60.06,153.78233333333336,0.29465672295594453,0.013903408436918271,14.456485678473785
60.98,155.653,0.29442009227483157,0.013330392416124012,14.322859955278636
61.91,158.056,0.29458120477988836,0.012825206641923647,14.18733195705078
62.83,160.37233333333333,0.29475351596738697,0.012370400597745055,14.062819678601823
63.76,162.504,0.2949234566291575,0.011983686335705566,13.954809752495287
64.68,164.49,0.2950810669697164,0.011667825954223093,13.864866885972239
65.61,167.59099999999998,0.29529309284369754,0.011290056714136134,13.755195644403969
66.53,169.606,0.29548887341409047,0.010977024960000085,13.662579461690097
67.46,171.21366666666665,0.2956388395908665,0.010759124690800013,13.596893058595942
68.45,172.516,0.29571482699541324,0.010657812026429705,13.565759041142742
69.48,174.20399999999998,0.29574375806216047,0.010622080140270197,13.554564055710138
70.5,176.76233333333334,0.29579721663194913,0.010560520676573525,13.534912492450106
71.53,178.379,0.29580090427186284,0.010556544449659776,13.5336193825778
72.63,180.01166666666668,0.29575038682628085,0.010607722936620734,13.550587461024346
73.59,182.27333333333334,0.295726470719977,0.010630755952429193,13.558351352472698
74.54,184.5713333333333,0.29573221558840346,0.010625495676527512,13.55654894695146
75.5,186.023,0.2956974640766522,0.010655773268194979,13.567096759835678
76.47,188.27966666666669,0.295690397700793,0.010661639701141404,13.56917472672884
77.43,190.021,0.2956703783361621,0.010677507710932272,13.574887562460185
78.39,192.62566666666666,0.2957090866011953,0.010648220127527577,13.564170453630002
79.61,194.38,0.2956933577185636,0.01065947040540259,13.568371152289078
80.57,196.6963333333333,0.2957173591931439,0.010643012094983572,13.562129367393638
81.53,198.186,0.29571074720225055,0.01064736200330941,13.563804866856696
82.49,199.72366666666667,0.29568225330784625,0.010665388033648453,13.5708557205289
83.45,201.54,0.29565841309404506,0.01067990969379297,13.57662323757166
84.41,203.37,0.29564138243434446,0.010689905213779738,13.580653727056903
85.37,205.08399999999997,0.2956225898640172,0.010700539767505748,13.585006970136934
86.33,207.07500000000002,0.2956260509347165,0.010698650944913388,13.584222062162196
87.29,208.64766666666665,0.29561731535540225,0.010703253860524769,13.58616317258693
