t,bgt127,jt305,gob33
132.0,223.5094020253418,253.368643529429,556.6484489028282
132.5,223.51689657039978,253.759343016682,557.5945847718255
133.0,223.52419667394744,254.14719801271283,558.5342870720538
133.5,223.53130956701037,254.5322294535201,559.4675996342221
134.0,223.53824244525185,254.9144581282585,560.3945660248712
134.5,223.5450024689729,255.29390467923886,561.3152295463738
135.0,223.55159676311234,255.67058960192836,562.2296332369342
135.5,223.55803241724664,256.04453324494995,563.1378198705887
136.0,223.56431648559004,256.41575581008306,564.0398319572054
136.5,223.57045598699452,256.7842773522632,564.935711742484
137.0,223.57645790494976,257.15011777958193,565.8255012079563
137.5,223.5823291875833,257.51329685328704,566.7092420709855
138.0,223.5880767476602,257.8738341877824,567.5869757847671
138.5,223.593706039271,258.23174925062807,568.4587435383282
139.0,223.59921187040527,258.5870613625401,569.3245862565276
139.5,223.60459388216222,258.9397896973912,570.1845446000558
140.0,223.6098534344943,259.28995328220935,571.0386589654356
140.5,223.6149919079714,259.6375709971797,571.8869694850214
141.0,223.62001070378088,259.98266157564257,572.7295160269988
141.5,223.62491124372758,260.3252436040952,573.5663381953862
142.0,223.6296949702339,260.6653355221905,574.397475330033
142.5,223.6343633463397,261.0029556227377,575.222966506621
143.0,223.63891785570235,261.33812205170227,576.0428505366634
143.5,223.64336000259664,261.67085280820555,576.8571659675054
144.0,223.64769131191494,262.0011657445254,577.6659510823241
144.5,223.65191332916706,262.32907856609546,578.469243900128
145.0,223.65602762048036,262.65460883150564,579.2670821757579
145.5,223.66003577259963,262.97777395250216,580.0595033998861
146.0,223.66393939288716,263.29859119398714,580.8465447990167
146.5,223.6677401093228,263.617077674019,581.6282433354858
147.0,223.67143957050385,263.93325132454237,582.4046357074615
147.5,223.67503944564507,264.24713379648733,583.1757583489428
148.0,223.67854142457875,264.55874166042105,583.9416474297615
148.5,223.68194721775467,264.86809059269444,584.7023388555809
149.0,223.68525855624011,265.1751961909451,585.457868267896
149.5,223.68847719171984,265.48007397409765,586.2082710440332
150.0,223.6916048964961,265.7827393823635,586.953582297152
150.5,223.69464346348866,266.08320777724083,587.6938368762424
151.0,223.69759470623475,266.3814944415148,588.4290693661263
151.5,223.7004604588891,266.6776145792574,589.1593140874587
152.0,223.70324257622397,266.9715833158274,589.8846050967248
152.5,223.70594293362907,267.26341569787047,590.6049761862425
153.0,223.7085634271116,267.55312669331914,591.3204608841612
153.5,223.71110597329633,267.84073119139276,592.031092454462
154.0,223.71357250942538,268.12624400259756,592.736903896959
