file,replicate,time,border_l,border_r,offset_l,offest_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,loess_height,local_slope
bacillus_069.datx,C,7.49388888888889,9201,30032,0.0,0.0,2584,50,bacillus,0.8660956835301477,3.5594410166086163,-0.9789706561678031,3.6165046000000003,7240,18759,0.9323780236792563,0.19775596623946592,0.4053515879377111,0.9881588947714848,0.30649710489327187
bacillus_072.datx,C,7.94055555555556,9193,30057,0.0,0.0,2568,50,bacillus,1.1391854516077728,5.062655893882038,-0.2704505538495141,3.6222340599999994,7240,18759,1.1134350662914352,0.23688596266860387,0.97293060935536,1.1503105618202427,0.34645844858907204
bacillus_075.datx,C,8.47055555555556,9189,30076,0.0,0.0,2556,50,bacillus,1.4599455544594093,6.055292191933404,-0.15031999318307498,3.62622732,7240,18759,1.6290882892497762,0.2921086088850254,-0.8385536405366685,1.2939055008877545,0.0354711888918291
bacillus_078.datx,C,9.00166666666667,9173,30083,0.0,0.0,2545,50,bacillus,0.884723931318149,7.384072010987438,-0.11875940640675253,3.63022058,7240,18759,1.1837231334980793,0.4206789141107418,0.3818628873045796,1.268419740115204,-0.17562615579559182
bacillus_081.datx,C,9.53166666666667,9157,30100,0.0,0.0,2528,50,bacillus,0.8875928823981667,9.199715285671118,-0.2890076534677064,3.63595004,7240,18759,1.3861104637695063,0.6306093170300753,-1.4871338389736926,1.112935555979175,-0.1861541918136378
bacillus_084.datx,C,10.0616666666667,9143,30105,0.0,0.0,2519,50,bacillus,-0.1425569076091051,10.067429494763928,-1.0652846841148857,3.6392488199999997,7240,18759,0.5979295291134052,0.907941454199328,0.39470138012064604,1.0489731109576756,0.044900810605572605
bacillus_087.datx,C,10.5927777777778,9138,30148,0.0,0.0,2495,50,bacillus,-0.1293091391089547,12.37218505356941,-0.8894012487726286,3.64758258,7240,18759,0.8075598176663662,1.2838477795944991,1.4984766358518915,1.1077492364657706,0.2932066868366934
bacillus_090.datx,C,11.1227777777778,9110,30167,0.0,0.0,2471,50,bacillus,0.8992771679659199,13.249461939089088,-1.1072568276358652,3.6557427199999997,7240,18759,1.6017524346678704,1.7130276949736998,-0.005014524470375208,1.0698404409329112,-0.7350994493938467
bacillus_093.datx,C,11.6538888888889,9085,30192,0.0,0.0,2446,50,bacillus,1.0059903429064434,15.518845514823624,-0.8775129319983535,3.66442372,7240,18759,1.5990891650047157,1.3599129314133211,-3.0324879228267276,0.6566249209431341,-0.8680788609163981
bacillus_096.datx,C,12.1983333333333,9055,30244,0.0,0.0,2405,50,bacillus,-0.819948366326571,16.34038355357916,-2.541417334228754,3.67866056,7240,18759,-0.05193203742303436,1.4930210841983267,-4.203946505884771,0.3245759634917764,-0.8584281523845406
bacillus_099.datx,C,12.7283333333333,9031,30261,0.0,0.0,2385,50,bacillus,-3.2800245412872755,19.159014469394606,-4.674370265081961,3.6857789800000003,7240,18759,-2.28002368554196,1.2769424493508172,9.46866230555082,-0.012866026912554174,0.3192221880525004
bacillus_102.datx,C,13.2594444444444,9004,30302,0.0,0.0,2351,50,bacillus,2.4746871685965743,21.172860631842923,-1.0674206172298,3.6975851399999997,7240,18759,2.7488880722949256,0.8619308453298933,-8.992411097853438,0.2699975959403744,1.1206328788690159
bacillus_105.datx,C,13.7888888888889,8967,30141,0.0,0.0,2413,50,bacillus,-2.701634090677544,20.62908095653256,-13.357117198847845,3.6760562599999997,7240,18759,-2.01209402562465,2.6448166020134525,12.186826198718895,1.1983196174374702,2.1117737265273973
bacillus_108.datx,C,14.3188888888889,8943,30374,0.0,0.0,2284,50,bacillus,4.078337783386814,26.545135482530895,0.0,3.7206766,7240,18759,4.446923859696357,1.083602125127098,-2.360951202657025,2.2362124730828725,1.4324627799554035
bacillus_111.datx,C,14.85,8913,30414,0.0,0.0,2249,50,bacillus,2.934065522345918,26.534931420814246,-1.2978452137722343,3.7328300000000003,7240,18759,3.1929964431740965,1.2343036380259775,1.1085493370109636,3.020868015663213,1.792971203686442
bacillus_114.datx,C,15.38,8874,30457,0.0,0.0,2208,50,bacillus,4.028319417393504,30.018451235500834,0.0,3.74706684,7240,18759,3.7805275917899084,0.9177839422374396,-0.8831588722997927,3.327751332666507,-0.5441876614700103
